dataset,k,d_cpdag,TPR,FPR,Time
13pathfinder,1,214,0.6564102564102564,0.0024600246002460025,2.063661813735962
13pathfinder,2,204,0.6666666666666666,0.0021085925144965737,1.78535795211792
13pathfinder,3,252,0.6102564102564103,0.004217185028993147,1.5161030292510986
13pathfinder,4,205,0.6051282051282051,0.0031628887717448603,2.3941991329193115
13pathfinder,5,204,0.6102564102564103,0.0031628887717448603,2.204787015914917
13pathfinder,6,204,0.6512820512820513,0.0015814443858724301,1.6444926261901855
13pathfinder,7,187,0.6461538461538462,0.001932876471621859,2.1273138523101807
13pathfinder,8,242,0.6153846153846154,0.0031628887717448603,1.9388418197631836
13pathfinder,9,207,0.6461538461538462,0.002284308557371288,2.1100070476531982
13pathfinder,10,206,0.6358974358974359,0.002284308557371288,2.2917850017547607
14munin,1,367,0.989010989010989,0.010512638790455942,7.510088920593262
14munin,2,348,0.9853479853479854,0.010040160642570281,6.530702114105225
14munin,3,334,0.9816849816849816,0.009508622726198913,6.798370122909546
14munin,4,326,0.9816849816849816,0.009390503189227498,6.2286927700042725
14munin,5,398,0.978021978021978,0.011634774391684385,7.26906418800354
14munin,6,317,0.989010989010989,0.008032128514056224,6.898403644561768
14munin,7,373,0.9816849816849816,0.011339475549255847,8.35470700263977
14munin,8,364,0.9706959706959707,0.010158280179541696,4.957255840301514
14munin,9,343,0.9743589743589743,0.00980392156862745,6.743251085281372
14munin,10,351,0.9853479853479854,0.010453579021970234,4.3295581340789795
15andes,1,780,0.9881656804733728,0.017325414704075365,7.403145790100098
15andes,2,645,0.9911242603550295,0.013516280974810568,9.657527923583984
15andes,3,714,0.9881656804733728,0.01642432930575466,7.574537992477417
15andes,4,725,0.985207100591716,0.015973786606594306,8.844810009002686
15andes,5,724,0.9940828402366864,0.01642432930575466,8.059283971786499
15andes,6,678,0.9881656804733728,0.014294491091542084,8.87973403930664
15andes,7,667,0.9911242603550295,0.013639156256399755,9.224849939346313
15andes,8,682,0.9911242603550295,0.014294491091542084,7.773382902145386
15andes,9,745,0.9881656804733728,0.01679295515052222,6.866655349731445
15andes,10,660,0.9911242603550295,0.014171615809952898,9.263124942779541
16diabetes,1,1399,0.9883720930232558,0.009197878687437853,47.030333042144775
16diabetes,2,1409,0.9800664451827242,0.008878261281310668,41.71578311920166
16diabetes,3,1399,0.9833887043189369,0.008972962734977982,65.55504202842712
16diabetes,4,1429,0.9833887043189369,0.009103177233770538,50.75898814201355
16diabetes,5,1376,0.9867109634551495,0.008925612008144325,53.11428189277649
16diabetes,6,1431,0.9867109634551495,0.009257067095979923,46.72585868835449
16diabetes,7,1381,0.9900332225913622,0.008665183010559211,128.10050582885742
16diabetes,8,1397,0.9900332225913622,0.008866423599602253,52.72829985618591
16diabetes,9,1379,0.9800664451827242,0.00905582650693688,42.351768016815186
16diabetes,10,1398,0.9867109634551495,0.008996638098394811,50.210774183273315
