"V1","V2","V3","V4","V5","V6"
"13pathfinder","1","0.80193305015564","157","0.528205128205128","0.0020730759264058"
"13pathfinder","2","0.907505035400391","223","0.507692307692308","0.00250496674440701"
"13pathfinder","3","0.798512935638428","216","0.512820512820513","0.00215945409000605"
"13pathfinder","4","0.72203803062439","226","0.492307692307692","0.00250496674440701"
"13pathfinder","5","0.859547138214111","218","0.502564102564103","0.00224583225360629"
"13pathfinder","6","0.687714099884033","220","0.528205128205128","0.00224583225360629"
"13pathfinder","7","0.815025091171265","216","0.523076923076923","0.00215945409000605"
"13pathfinder","8","0.811419010162354","229","0.492307692307692","0.00250496674440701"
"13pathfinder","9","1.10070586204529","214","0.512820512820513","0.00224583225360629"
"13pathfinder","10","0.914913892745972","223","0.517948717948718","0.00215945409000605"
"14munin","1","2.55798602104187","126","0.765567765567766","0.00190409233383133"
"14munin","2","3.12255811691284","109","0.776556776556777","0.00152327386706506"
"14munin","3","1.73966503143311","121","0.743589743589744","0.00172832996455459"
"14munin","4","1.74289608001709","94","0.816849816849817","0.0014060989542139"
"14munin","5","2.57210803031921","116","0.772893772893773","0.00161115505170343"
"14munin","6","2.03298783302307","115","0.776556776556777","0.00155256759527785"
"14munin","7","1.76681399345398","108","0.791208791208791","0.00152327386706506"
"14munin","8","2.41378498077393","127","0.754578754578755","0.00178691742098017"
"14munin","9","1.89518284797668","120","0.772893772893773","0.00158186132349064"
"14munin","10","2.16206622123718","120","0.769230769230769","0.00172832996455459"
"15andes","1","2.07588982582092","126","0.724852071005917","0.000630491376505044"
"15andes","2","2.00232195854187","110","0.760355029585799","0.000569476082004556"
"15andes","3","2.30697298049927","118","0.745562130177515","0.000610152945004881"
"15andes","4","2.16430306434631","125","0.736686390532544","0.000671168239505369"
"15andes","5","1.74367189407349","112","0.754437869822485","0.000549137650504393"
"15andes","6","2.12307596206665","127","0.736686390532544","0.000732183534005858"
"15andes","7","1.66843795776367","106","0.772189349112426","0.000549137650504393"
"15andes","8","2.48488306999207","113","0.751479289940828","0.000589814513504718"
"15andes","9","1.93705081939697","115","0.754437869822485","0.000610152945004881"
"15andes","10","1.70131683349609","132","0.718934911242604","0.000732183534005858"
"16diabetes","1","11.3133230209351","283","0.707641196013289","0.000642863040683204"
"16diabetes","2","12.1878700256348","271","0.705980066445183","0.00058978260613138"
"16diabetes","3","12.3211688995361","281","0.707641196013289","0.00063696521462189"
"16diabetes","4","10.4167590141296","279","0.709302325581395","0.000607476084315321"
"16diabetes","5","11.7330238819122","248","0.729235880398671","0.000548497823702183"
"16diabetes","6","12.2086989879608","282","0.699335548172757","0.000678249997051087"
"16diabetes","7","12.2918009757996","261","0.72093023255814","0.000583884780070066"
"16diabetes","8","9.04534220695496","273","0.710963455149502","0.000625169562499263"
"16diabetes","9","9.289391040802","267","0.707641196013289","0.000601578258254008"
"16diabetes","10","10.0270929336548","265","0.710963455149502","0.000595680432192694"
